1,"['tall', 'tall', 'fast', 'big', 'had no trouble ', 'graceful', 'tall', 'independent ', 'happy.', 'strong', 'big', 'tall', 'clever', 'excited', 'excited!', 'tall.', 'gonna win this.', 'big']"
2,"['big', 'big', 'big', 'big', 'big', 'large', 'large', 'big', 'big.', 'big', 'tall', 'big', 'big', 'happy', 'proactive.', 'big.', 'big ', 'fast']"
3,"['tall', 'tall', 'tall', 'tall', 'hungry', 'tall', 'lucky', 'hungry', 'tall.', 'tall', 'hungry', 'tall', 'tall', 'big', 'hungry.', 'tall', 'has a long neck', 'tall']"
4,"['small', 'small', 'short', 'tiny', 'focused', 'noticeable', 'big', 'patient', 'hungry.', 'tall', 'hungry', 'big', 'fast', 'big', 'hungry.', 'attentive', 'smart.', 'smart']"
5,"['excited', 'tired', 'tired', 'tired', 'sleepy', 'tired', 'energetic', 'tired', 'tired.', 'tired', 'sleepy', 'tired', 'tired', 'angry', 'tired.', 'tired', 'sleepy', 'tired']"
6,"['relaxed', 'bored', 'tired', 'lazy', 'relaxed', 'lazy', 'lively', 'energetic', 'sleepy.', 'awake', 'exhausted', 'rested', 'well-rested', 'tired', 'energized.', 'tired', 'alert', 'sleepy']"
7,"['fast', 'racing', 'small', 'good', 'involved', 'slow', 'fast', 'dangerous', 'fast.', 'fast', 'in it', 'involved', 'fast', 'fast', 'tired.', 'big', 'graceful', 'tired']"
8,"['fast', 'fast', 'fast', 'fast', 'proud', 'fast', 'speedy', 'happy', 'proud.', 'quick', 'quick', 'fast', 'proud', 'sad', 'unhappy.', 'fast', 'fast', 'fast']"
9,"['fast', 'fast', 'fast', 'happy', 'fast', 'quick', 'fast', 'fast', 'fast.', 'fast', 'quick', 'fast', 'fast', 'fast', 'fast.', 'fast', 'fast', 'fast']"
10,"['proud', 'loud', 'proud', 'loud', 'excited', 'proud', 'angry', 'loud ', 'proud.', 'loud', 'loud', 'loud', 'loud', 'excited', 'happy.', 'loud', 'loud', 'scary']"
A1,"['forty one', 'forty-one', 'forty one', 'forty one', 'forty one', 'fourty one', 'forty one', 'forty one', 'forty one', 'forty one', 'forty one', 'forty one', 'forty one', 'forty one', 'forty one.', 'forty one', 'forty one', 'forty one']"
11,"['cold', 'cold', 'cold', 'warm', 'fun', 'appropriate', 'cold', ' hard ', 'cold.', 'cold', 'time yet', 'hard', 'hot', 'beautiful', 'easy', 'tough', 'hard to do', 'cold']"
12,"['blue', 'blue', 'bright', 'pink', 'magical', 'clear', 'calming', 'blue', 'blue.', 'warm', 'blue and clear', 'vibrant', 'blue', 'lovely', 'colorful', 'pink', 'blue', 'blue']"
