1,"[['tall', 4, 0.22], ['fast', 1, 0.06], ['big', 3, 0.17], ['had no trouble ', 1, 0.06], ['graceful', 1, 0.06], ['independent ', 1, 0.06], ['happy.', 1, 0.06], ['strong', 1, 0.06], ['clever', 1, 0.06], ['excited', 1, 0.06], ['excited!', 1, 0.06], ['tall.', 1, 0.06], ['gonna win this.', 1, 0.06]]"
2,"[['big', 9, 0.5], ['large', 2, 0.11], ['big.', 2, 0.11], ['tall', 1, 0.06], ['happy', 1, 0.06], ['proactive.', 1, 0.06], ['big ', 1, 0.06], ['fast', 1, 0.06]]"
3,"[['tall', 10, 0.56], ['hungry', 3, 0.17], ['lucky', 1, 0.06], ['tall.', 1, 0.06], ['big', 1, 0.06], ['hungry.', 1, 0.06], ['has a long neck', 1, 0.06]]"
4,"[['small', 2, 0.11], ['short', 1, 0.06], ['tiny', 1, 0.06], ['focused', 1, 0.06], ['noticeable', 1, 0.06], ['big', 3, 0.17], ['patient', 1, 0.06], ['hungry.', 2, 0.11], ['tall', 1, 0.06], ['hungry', 1, 0.06], ['fast', 1, 0.06], ['attentive', 1, 0.06], ['smart.', 1, 0.06], ['smart', 1, 0.06]]"
5,"[['excited', 1, 0.06], ['tired', 10, 0.56], ['sleepy', 3, 0.17], ['energetic', 1, 0.06], ['tired.', 2, 0.11], ['angry', 1, 0.06]]"
6,"[['relaxed', 2, 0.11], ['bored', 1, 0.06], ['tired', 3, 0.17], ['lazy', 2, 0.11], ['lively', 1, 0.06], ['energetic', 1, 0.06], ['sleepy.', 1, 0.06], ['awake', 1, 0.06], ['exhausted', 1, 0.06], ['rested', 1, 0.06], ['well-rested', 1, 0.06], ['energized.', 1, 0.06], ['alert', 1, 0.06], ['sleepy', 1, 0.06]]"
7,"[['fast', 5, 0.28], ['racing', 1, 0.06], ['small', 1, 0.06], ['good', 1, 0.06], ['involved', 2, 0.11], ['slow', 1, 0.06], ['dangerous', 1, 0.06], ['fast.', 1, 0.06], ['in it', 1, 0.06], ['tired.', 1, 0.06], ['big', 1, 0.06], ['graceful', 1, 0.06], ['tired', 1, 0.06]]"
8,"[['fast', 9, 0.5], ['proud', 2, 0.11], ['speedy', 1, 0.06], ['happy', 1, 0.06], ['proud.', 1, 0.06], ['quick', 2, 0.11], ['sad', 1, 0.06], ['unhappy.', 1, 0.06]]"
9,"[['fast', 13, 0.72], ['happy', 1, 0.06], ['quick', 2, 0.11], ['fast.', 2, 0.11]]"
10,"[['proud', 3, 0.17], ['loud', 8, 0.44], ['excited', 2, 0.11], ['angry', 1, 0.06], ['loud ', 1, 0.06], ['proud.', 1, 0.06], ['happy.', 1, 0.06], ['scary', 1, 0.06]]"
A1,"[['forty one', 15, 0.83], ['forty-one', 1, 0.06], ['fourty one', 1, 0.06], ['forty one.', 1, 0.06]]"
11,"[['cold', 6, 0.33], ['warm', 1, 0.06], ['fun', 1, 0.06], ['appropriate', 1, 0.06], [' hard ', 1, 0.06], ['cold.', 1, 0.06], ['time yet', 1, 0.06], ['hard', 1, 0.06], ['hot', 1, 0.06], ['beautiful', 1, 0.06], ['easy', 1, 0.06], ['tough', 1, 0.06], ['hard to do', 1, 0.06]]"
12,"[['blue', 6, 0.33], ['bright', 1, 0.06], ['pink', 2, 0.11], ['magical', 1, 0.06], ['clear', 1, 0.06], ['calming', 1, 0.06], ['blue.', 1, 0.06], ['warm', 1, 0.06], ['blue and clear', 1, 0.06], ['vibrant', 1, 0.06], ['lovely', 1, 0.06], ['colorful', 1, 0.06]]"
13,"[['warm', 9, 0.5], ['hot', 3, 0.17], ['warm ', 1, 0.06], ['warm.', 1, 0.06], ['nice and calm', 1, 0.06], ['cozy', 1, 0.06], ['nice', 1, 0.06], ['hot all day', 1, 0.06]]"
14,"[['hot', 4, 0.22], ['sunny', 1, 0.06], ['cold', 4, 0.22], ['dirty', 1, 0.06], ['sticky', 1, 0.06], ['shady ', 1, 0.06], ['cold.', 1, 0.06], ['off limits', 1, 0.06], ['clean', 1, 0.06], ['hard', 1, 0.06], ['that hot', 1, 0.06], ['wet', 1, 0.06]]"
15,"[['bright', 5, 0.28], ['sparkly', 1, 0.06], ['numerous ', 1, 0.06], ['beautiful', 2, 0.11], [' numerous ', 1, 0.06], ['pretty.', 1, 0.06], ['pretty', 2, 0.11], ['sporadic', 1, 0.06], ['twinkly', 1, 0.06], ['vibrant', 1, 0.06], ['shiny', 1, 0.06], ['brighyt', 1, 0.06]]"
16,"[['orange', 1, 0.06], ['colorful', 2, 0.11], ['green', 4, 0.22], ['changing', 1, 0.06], ['attractive', 1, 0.06], ['pretty', 1, 0.06], ['heavy ', 1, 0.06], ['green.', 1, 0.06], ['ready yet', 1, 0.06], ['built', 1, 0.06], ['dull', 1, 0.06], ['ugly', 1, 0.06], ['old', 1, 0.06], ['stuck', 1, 0.06]]"
17,"[['scary', 12, 0.67], ['fun', 3, 0.17], ['spooky', 1, 0.06], ['scared.', 1, 0.06], ['scary and fun', 1, 0.06]]"
18,"[['warm', 11, 0.61], ['windy', 1, 0.06], ['cold', 2, 0.11], ['warm.', 1, 0.06], ['hot', 1, 0.06], ['icy', 1, 0.06], ['hard to build', 1, 0.06]]"
19,"[['small', 4, 0.22], ['hard', 1, 0.06], ['short', 4, 0.22], ['steep', 1, 0.06], ['low', 2, 0.11], ['tiny ', 1, 0.06], ['small.', 1, 0.06], ['sloped', 1, 0.06], ['level', 1, 0.06], ['easy ', 1, 0.06], ['slippery', 1, 0.06]]"
20,"[['dark', 16, 0.89], ['dangerous', 1, 0.06], ['dark.', 1, 0.06]]"
A2,"[['twenty two', 18, 1.0]]"
